Datetime,Open,High,Low,Close,Volume,date
2015-08-21 11:05:00,8246.85,8246.85,8240.15,8244.0,0,2015-08-21
2015-08-21 11:10:00,8243.75,8248.25,8241.75,8244.85,0,2015-08-21
2015-08-21 11:15:00,8245.65,8251.1,8244.55,8251.0,0,2015-08-21
2015-08-21 11:20:00,8251.6,8258.0,8250.25,8255.4,0,2015-08-21
2015-08-21 11:25:00,8255.0,8261.6,8254.85,8259.6,0,2015-08-21
2015-08-21 11:30:00,8259.4,8266.7,8256.25,8266.05,0,2015-08-21
2015-08-21 11:35:00,8263.4,8268.1,8257.8,8259.95,0,2015-08-21
2015-08-21 11:40:00,8259.75,8260.9,8249.6,8251.25,0,2015-08-21
2015-08-21 11:45:00,8251.6,8265.1,8250.8,8264.55,0,2015-08-21
2015-08-21 11:50:00,8265.0,8273.75,8264.65,8270.7,0,2015-08-21
2015-08-21 11:55:00,8270.85,8270.9,8262.3,8269.0,0,2015-08-21
2015-08-21 12:00:00,8269.1,8269.15,8259.75,8260.5,0,2015-08-21
2015-08-21 12:05:00,8259.8,8265.4,8257.25,8260.85,0,2015-08-21
2015-08-21 12:10:00,8261.0,8263.55,8250.7,8252.3,0,2015-08-21
2015-08-21 12:15:00,8252.65,8253.7,8247.6,8249.65,0,2015-08-21
2015-08-21 12:20:00,8249.75,8253.05,8243.1,8244.35,0,2015-08-21
2015-08-21 12:25:00,8244.55,8253.0,8244.4,8249.45,0,2015-08-21
2015-08-21 12:30:00,8250.85,8250.95,8242.4,8247.65,0,2015-08-21
2015-08-21 12:35:00,8248.15,8250.4,8244.35,8246.8,0,2015-08-21
2015-08-21 12:40:00,8246.85,8252.55,8244.9,8252.45,0,2015-08-21
2015-08-21 12:45:00,8252.45,8257.6,8252.1,8256.95,0,2015-08-21
2015-08-21 12:50:00,8256.85,8257.4,8252.6,8257.4,0,2015-08-21
2015-08-21 12:55:00,8257.35,8263.1,8255.45,8263.0,0,2015-08-21
2015-08-21 13:00:00,8263.0,8275.8,8261.6,8270.6,0,2015-08-21
2015-08-21 13:05:00,8270.35,8283.7,8270.2,8276.9,0,2015-08-21
2015-08-21 13:10:00,8276.5,8276.5,8264.5,8268.5,0,2015-08-21
2015-08-21 13:15:00,8268.85,8278.05,8267.3,8277.15,0,2015-08-21
2015-08-21 13:20:00,8276.8,8277.3,8266.75,8268.25,0,2015-08-21
2015-08-21 13:25:00,8268.0,8275.25,8267.8,8274.85,0,2015-08-21
2015-08-21 13:30:00,8274.85,8277.2,8270.05,8271.55,0,2015-08-21
2015-08-21 13:35:00,8271.1,8273.55,8262.75,8264.15,0,2015-08-21
2015-08-21 13:40:00,8263.85,8270.25,8261.05,8269.35,0,2015-08-21
2015-08-21 13:45:00,8269.6,8273.45,8266.6,8272.2,0,2015-08-21
2015-08-21 13:50:00,8272.25,8273.25,8256.95,8260.7,0,2015-08-21
2015-08-21 13:55:00,8260.05,8265.1,8252.3,8263.35,0,2015-08-21
2015-08-21 14:00:00,8263.6,8263.6,8250.35,8252.35,0,2015-08-21
2015-08-21 14:05:00,8252.95,8254.55,8247.0,8252.15,0,2015-08-21
2015-08-21 14:10:00,8252.85,8261.15,8252.75,8259.05,0,2015-08-21
2015-08-21 14:15:00,8258.7,8275.5,8258.4,8272.15,0,2015-08-21
2015-08-21 14:20:00,8272.7,8276.5,8266.45,8276.5,0,2015-08-21
2015-08-21 14:25:00,8276.1,8277.65,8265.65,8268.6,0,2015-08-21
2015-08-21 14:30:00,8269.6,8270.8,8265.5,8268.35,0,2015-08-21
2015-08-21 14:35:00,8268.95,8285.25,8267.1,8279.3,0,2015-08-21
2015-08-21 14:40:00,8279.75,8292.55,8277.55,8288.9,0,2015-08-21
2015-08-21 14:45:00,8289.5,8290.95,8281.4,8283.05,0,2015-08-21
2015-08-21 14:50:00,8283.15,8305.8,8282.8,8299.8,0,2015-08-21
2015-08-21 14:55:00,8299.05,8321.75,8295.7,8318.95,0,2015-08-21
2015-08-21 15:00:00,8319.05,8319.05,8298.85,8313.9,0,2015-08-21
2015-08-21 15:05:00,8314.6,8315.55,8302.5,8308.8,0,2015-08-21
2015-08-21 15:10:00,8309.1,8319.4,8304.95,8308.05,0,2015-08-21
2015-08-21 15:15:00,8308.1,8310.45,8299.1,8299.95,0,2015-08-21
2015-08-21 15:20:00,8299.85,8299.85,8279.3,8279.5,0,2015-08-21
2015-08-21 15:25:00,8279.4,8288.1,8277.1,8284.65,0,2015-08-21
2015-08-24 09:15:00,8055.95,8058.95,7992.7,8022.9,0,2015-08-24
2015-08-24 09:20:00,8024.3,8045.45,8004.7,8042.15,0,2015-08-24
2015-08-24 09:25:00,8043.15,8049.25,8018.65,8025.55,0,2015-08-24
2015-08-24 09:30:00,8025.0,8040.7,8025.0,8036.8,0,2015-08-24
2015-08-24 09:35:00,8031.4,8033.9,8023.6,8028.9,0,2015-08-24
2015-08-24 09:40:00,8029.05,8044.35,8029.05,8041.65,0,2015-08-24
2015-08-24 09:45:00,8040.35,8052.25,8038.25,8051.8,0,2015-08-24
2015-08-24 09:50:00,8051.55,8051.6,8039.45,8045.9,0,2015-08-24
2015-08-24 09:55:00,8046.35,8050.9,8042.5,8042.85,0,2015-08-24
2015-08-24 10:00:00,8043.1,8043.1,8032.0,8039.65,0,2015-08-24
2015-08-24 10:05:00,8038.75,8045.55,8037.2,8041.35,0,2015-08-24
2015-08-24 10:10:00,8040.85,8047.7,8032.7,8033.2,0,2015-08-24
2015-08-24 10:15:00,8033.1,8033.6,8002.1,8002.15,0,2015-08-24
2015-08-24 10:20:00,8003.5,8019.3,8003.5,8003.65,0,2015-08-24
2015-08-24 10:25:00,8004.3,8006.7,7970.6,7971.3,0,2015-08-24
2015-08-24 10:30:00,7970.95,7978.2,7962.7,7967.75,0,2015-08-24
2015-08-24 10:35:00,7967.4,7974.4,7959.2,7973.15,0,2015-08-24
2015-08-24 10:40:00,7973.6,7983.6,7969.95,7983.0,0,2015-08-24
2015-08-24 10:45:00,7983.45,7983.95,7958.2,7958.6,0,2015-08-24
2015-08-24 10:50:00,7958.45,7960.05,7941.1,7941.8,0,2015-08-24
2015-08-24 10:55:00,7942.1,7972.05,7941.75,7971.2,0,2015-08-24
2015-08-24 11:00:00,7970.8,7999.0,7968.65,7994.25,0,2015-08-24
2015-08-24 11:05:00,7994.7,7999.0,7980.55,7989.9,0,2015-08-24
2015-08-24 11:10:00,7990.15,8006.05,7988.4,8001.85,0,2015-08-24
2015-08-24 11:15:00,8001.65,8008.5,7981.55,7984.9,0,2015-08-24
2015-08-24 11:20:00,7985.55,8004.9,7985.1,8004.9,0,2015-08-24
2015-08-24 11:25:00,8004.9,8012.15,8001.75,8007.05,0,2015-08-24
2015-08-24 11:30:00,8007.45,8011.1,7989.4,7993.7,0,2015-08-24
2015-08-24 11:35:00,7994.05,8001.3,7994.0,7998.65,0,2015-08-24
2015-08-24 11:40:00,7998.95,8004.1,7994.45,7997.9,0,2015-08-24
2015-08-24 11:45:00,7998.4,7998.9,7989.6,7992.3,0,2015-08-24
2015-08-24 11:50:00,7992.4,7992.5,7982.95,7988.8,0,2015-08-24
2015-08-24 11:55:00,7988.25,7991.15,7977.65,7986.2,0,2015-08-24
2015-08-24 12:00:00,7986.3,7989.2,7973.1,7975.7,0,2015-08-24
2015-08-24 12:05:00,7975.6,7979.6,7966.4,7966.45,0,2015-08-24
2015-08-24 12:10:00,7966.65,7969.0,7958.95,7962.2,0,2015-08-24
2015-08-24 12:15:00,7962.35,7968.2,7951.2,7955.65,0,2015-08-24
2015-08-24 12:20:00,7955.55,7972.6,7953.25,7972.05,0,2015-08-24
2015-08-24 12:25:00,7972.3,7975.6,7967.85,7971.15,0,2015-08-24
2015-08-24 12:30:00,7970.85,7984.9,7970.85,7983.25,0,2015-08-24
2015-08-24 12:35:00,7983.2,7987.1,7979.7,7980.35,0,2015-08-24
2015-08-24 12:40:00,7980.35,7988.0,7977.85,7982.05,0,2015-08-24
2015-08-24 12:45:00,7982.5,7985.9,7972.85,7975.5,0,2015-08-24
2015-08-24 12:50:00,7975.75,7978.05,7964.6,7975.6,0,2015-08-24
2015-08-24 12:55:00,7975.9,7976.65,7954.65,7958.6,0,2015-08-24
2015-08-24 13:00:00,7958.4,7959.65,7942.05,7942.05,0,2015-08-24
2015-08-24 13:05:00,7945.75,7950.75,7922.3,7923.8,0,2015-08-24
2015-08-24 13:10:00,7924.0,7949.65,7924.0,7939.1,0,2015-08-24
2015-08-24 13:15:00,7938.75,7953.1,7937.75,7946.95,0,2015-08-24
2015-08-24 13:20:00,7946.5,7958.55,7946.1,7953.4,0,2015-08-24
2015-08-24 13:25:00,7953.5,7964.7,7953.5,7957.3,0,2015-08-24
2015-08-24 13:30:00,7957.5,7961.95,7951.2,7952.2,0,2015-08-24
2015-08-24 13:35:00,7952.2,7961.35,7951.95,7953.85,0,2015-08-24
2015-08-24 13:40:00,7953.95,7958.0,7944.4,7944.4,0,2015-08-24
2015-08-24 13:45:00,7944.8,7948.8,7921.75,7921.75,0,2015-08-24
2015-08-24 13:50:00,7921.35,7928.35,7918.25,7918.25,0,2015-08-24
2015-08-24 13:55:00,7917.9,7920.4,7908.1,7915.4,0,2015-08-24
2015-08-24 14:00:00,7915.65,7917.45,7901.55,7911.0,0,2015-08-24
2015-08-24 14:05:00,7910.9,7915.4,7908.5,7911.3,0,2015-08-24
2015-08-24 14:10:00,7911.65,7913.25,7853.6,7853.6,0,2015-08-24
2015-08-24 14:15:00,7854.35,7877.5,7823.8,7867.85,0,2015-08-24
2015-08-24 14:20:00,7868.0,7876.8,7860.0,7867.25,0,2015-08-24
2015-08-24 14:25:00,7868.2,7869.75,7839.6,7850.1,0,2015-08-24
2015-08-24 14:30:00,7849.9,7850.7,7823.35,7834.95,0,2015-08-24
2015-08-24 14:35:00,7834.2,7857.85,7828.45,7852.35,0,2015-08-24
2015-08-24 14:40:00,7851.75,7856.9,7842.4,7851.6,0,2015-08-24
2015-08-24 14:45:00,7851.6,7870.6,7851.6,7870.6,0,2015-08-24
2015-08-24 14:50:00,7870.7,7876.1,7861.65,7865.15,0,2015-08-24
2015-08-24 14:55:00,7866.1,7867.3,7855.05,7855.05,0,2015-08-24
2015-08-24 15:00:00,7856.3,7856.3,7824.05,7828.5,0,2015-08-24
2015-08-24 15:05:00,7829.2,7835.1,7823.25,7834.7,0,2015-08-24
2015-08-24 15:10:00,7834.35,7835.05,7819.35,7820.95,0,2015-08-24
2015-08-24 15:15:00,7820.7,7822.8,7783.95,7789.8,0,2015-08-24
2015-08-24 15:20:00,7789.7,7790.9,7769.7,7774.85,0,2015-08-24
2015-08-24 15:25:00,7775.4,7804.45,7773.05,7798.95,0,2015-08-24
2015-08-25 09:15:00,7896.55,7924.25,7887.6,7894.75,0,2015-08-25
2015-08-25 09:20:00,7895.95,7923.55,7884.25,7900.25,0,2015-08-25
2015-08-25 09:25:00,7899.2,7906.3,7890.75,7903.1,0,2015-08-25
2015-08-25 09:30:00,7903.3,7904.2,7849.65,7852.85,0,2015-08-25
2015-08-25 09:35:00,7851.65,7868.35,7813.2,7814.8,0,2015-08-25
2015-08-25 09:40:00,7815.9,7847.4,7797.95,7842.45,0,2015-08-25
2015-08-25 09:45:00,7841.85,7854.8,7838.85,7846.5,0,2015-08-25
2015-08-25 09:50:00,7844.8,7844.8,7826.35,7835.5,0,2015-08-25
2015-08-25 09:55:00,7835.2,7847.35,7830.15,7847.35,0,2015-08-25
2015-08-25 10:00:00,7847.45,7866.25,7844.3,7866.25,0,2015-08-25
2015-08-25 10:05:00,7867.6,7871.5,7850.85,7863.05,0,2015-08-25
2015-08-25 10:10:00,7862.7,7864.25,7844.4,7850.3,0,2015-08-25
2015-08-25 10:15:00,7850.9,7861.15,7840.5,7852.25,0,2015-08-25
2015-08-25 10:20:00,7852.0,7853.15,7833.45,7837.5,0,2015-08-25
2015-08-25 10:25:00,7837.55,7846.05,7831.4,7836.65,0,2015-08-25
2015-08-25 10:30:00,7836.9,7841.5,7833.65,7834.5,0,2015-08-25
2015-08-25 10:35:00,7836.0,7836.8,7814.95,7827.15,0,2015-08-25
2015-08-25 10:40:00,7827.9,7828.8,7808.7,7814.1,0,2015-08-25
2015-08-25 10:45:00,7813.5,7816.3,7800.35,7804.25,0,2015-08-25
2015-08-25 10:50:00,7805.25,7807.75,7773.8,7785.85,0,2015-08-25
2015-08-25 10:55:00,7786.3,7803.65,7784.35,7790.05,0,2015-08-25
2015-08-25 11:00:00,7790.8,7797.95,7770.5,7777.15,0,2015-08-25
2015-08-25 11:05:00,7776.65,7776.65,7745.05,7761.1,0,2015-08-25
2015-08-25 11:10:00,7760.65,7762.25,7726.35,7726.35,0,2015-08-25
2015-08-25 11:15:00,7726.2,7726.2,7687.6,7695.45,0,2015-08-25
2015-08-25 11:20:00,7695.75,7730.4,7695.75,7703.75,0,2015-08-25
2015-08-25 11:25:00,7702.9,7713.9,7694.4,7694.8,0,2015-08-25
2015-08-25 11:30:00,7694.35,7725.75,7692.35,7725.75,0,2015-08-25
2015-08-25 11:35:00,7725.65,7735.45,7701.9,7702.9,0,2015-08-25
2015-08-25 11:40:00,7702.25,7708.95,7688.75,7688.8,0,2015-08-25
2015-08-25 11:45:00,7688.9,7692.55,7668.0,7676.35,0,2015-08-25
2015-08-25 11:50:00,7675.1,7694.5,7671.9,7691.15,0,2015-08-25
2015-08-25 11:55:00,7692.05,7692.05,7674.1,7679.05,0,2015-08-25
2015-08-25 12:00:00,7679.05,7725.2,7678.45,7725.2,0,2015-08-25
2015-08-25 12:05:00,7726.55,7768.85,7726.1,7758.25,0,2015-08-25
2015-08-25 12:10:00,7758.3,7765.2,7750.9,7753.05,0,2015-08-25
2015-08-25 12:15:00,7752.95,7782.5,7745.6,7775.4,0,2015-08-25
2015-08-25 12:20:00,7775.6,7796.0,7766.75,7774.75,0,2015-08-25
2015-08-25 12:25:00,7773.75,7793.3,7766.45,7791.35,0,2015-08-25
2015-08-25 12:30:00,7791.7,7829.7,7789.55,7828.85,0,2015-08-25
2015-08-25 12:35:00,7831.0,7836.5,7805.9,7820.7,0,2015-08-25
2015-08-25 12:40:00,7821.65,7840.0,7806.95,7825.2,0,2015-08-25
2015-08-25 12:45:00,7825.85,7826.7,7807.95,7808.6,0,2015-08-25
2015-08-25 12:50:00,7808.75,7817.4,7801.55,7817.05,0,2015-08-25
2015-08-25 12:55:00,7816.85,7849.9,7816.3,7849.15,0,2015-08-25
2015-08-25 13:00:00,7849.25,7864.5,7837.15,7860.15,0,2015-08-25
2015-08-25 13:05:00,7860.15,7867.55,7852.9,7859.75,0,2015-08-25
2015-08-25 13:10:00,7859.55,7859.55,7837.6,7853.65,0,2015-08-25
2015-08-25 13:15:00,7853.75,7867.9,7849.55,7867.55,0,2015-08-25
2015-08-25 13:20:00,7868.2,7882.75,7859.25,7877.1,0,2015-08-25
2015-08-25 13:25:00,7876.9,7893.65,7865.25,7865.25,0,2015-08-25
2015-08-25 13:30:00,7865.45,7883.9,7864.75,7881.0,0,2015-08-25
2015-08-25 13:35:00,7881.6,7890.5,7873.5,7874.2,0,2015-08-25
2015-08-25 13:40:00,7874.45,7885.8,7872.55,7877.35,0,2015-08-25
2015-08-25 13:45:00,7877.25,7882.4,7872.05,7874.65,0,2015-08-25
2015-08-25 13:50:00,7874.4,7881.55,7857.7,7881.55,0,2015-08-25
2015-08-25 13:55:00,7881.75,7889.7,7870.1,7872.95,0,2015-08-25
2015-08-25 14:00:00,7873.0,7881.8,7871.3,7881.35,0,2015-08-25
2015-08-25 14:05:00,7881.5,7894.75,7880.25,7894.65,0,2015-08-25
2015-08-25 14:10:00,7894.65,7896.75,7861.85,7865.35,0,2015-08-25
2015-08-25 14:15:00,7865.35,7865.6,7831.05,7850.6,0,2015-08-25
2015-08-25 14:20:00,7851.65,7858.7,7841.0,7858.7,0,2015-08-25
2015-08-25 14:25:00,7858.95,7878.05,7858.3,7868.9,0,2015-08-25
2015-08-25 14:30:00,7869.05,7869.5,7856.95,7857.1,0,2015-08-25
2015-08-25 14:35:00,7857.05,7859.25,7849.1,7859.0,0,2015-08-25
2015-08-25 14:40:00,7859.1,7869.4,7855.5,7863.95,0,2015-08-25
2015-08-25 14:45:00,7864.05,7873.4,7860.6,7872.95,0,2015-08-25
2015-08-25 14:50:00,7872.8,7873.4,7860.85,7869.25,0,2015-08-25
2015-08-25 14:55:00,7869.6,7885.85,7868.6,7874.95,0,2015-08-25
2015-08-25 15:00:00,7874.15,7874.65,7855.45,7865.75,0,2015-08-25
2015-08-25 15:05:00,7865.3,7871.05,7862.05,7864.55,0,2015-08-25
2015-08-25 15:10:00,7864.3,7879.1,7860.9,7878.6,0,2015-08-25
2015-08-25 15:15:00,7878.1,7891.05,7872.95,7889.65,0,2015-08-25
2015-08-25 15:20:00,7890.3,7911.65,7890.3,7901.3,0,2015-08-25
2015-08-25 15:25:00,7900.35,7907.7,7897.75,7906.35,0,2015-08-25
2015-08-26 09:15:00,7865.25,7865.25,7786.2,7811.05,0,2015-08-26
2015-08-26 09:20:00,7810.45,7826.15,7795.2,7825.3,0,2015-08-26
2015-08-26 09:25:00,7824.4,7850.35,7821.75,7850.35,0,2015-08-26
2015-08-26 09:30:00,7849.35,7855.5,7832.75,7853.35,0,2015-08-26
2015-08-26 09:35:00,7852.7,7869.6,7848.85,7865.7,0,2015-08-26
2015-08-26 09:40:00,7865.75,7866.05,7834.8,7844.6,0,2015-08-26
2015-08-26 09:45:00,7845.25,7852.5,7839.9,7842.9,0,2015-08-26
2015-08-26 09:50:00,7843.35,7850.55,7840.8,7847.25,0,2015-08-26
2015-08-26 09:55:00,7847.25,7859.15,7846.2,7856.3,0,2015-08-26
2015-08-26 10:00:00,7855.85,7873.2,7854.8,7871.85,0,2015-08-26
